70, J2019+2425, ntf93, 0.0039345241, 11, nss01, 7.0237E-21, 12, nss01, 0.91, -0.1, 0.82, 8.11, 1.1000e-16, *, *, 1.2000e-24
71, J1320-3512, mld+96, 0.4584884067, 7, dsb+98, 1.9E-18, 8, dsb+98, 0.93, 0.43, -0.64, 7.97, 7.0000e-11, *, *, 8.0000e-19
72, J0051+0423, snt97, 0.3547317989, 1, snt97, 7E-18, 2, snt97, 0.94, -0.8, 0.41, 8.77, 1.0000e-11, *, *, 2.0000e-18
73, B0301+19, fss73, 1.3875844463, 3, hlk+04, 1.295235E-15, 20, hlk+04, 0.95, -0.52, 0.26, 9.25, 3.0000e-12, *, *, 2.0000e-20
74, J1453+1902, lmcs07, 0.0057923027, 4, lmcs07, 1.162E-20, 3, lmcs07, 0.95, 0.83, 0.18, 8.07, 4.0000e-16, *, *, 3.0000e-23
75, B1845-19, mlt+78, 4.3081895986, 4, hlk+04, 2.328195E-14, 17, hlk+04, 0.95, -0.14, 0.24, 7.59, 4.0000e-11, *, *, 1.7000e-19
76, B2045-16, tv68, 1.9615723036, 12, hlk+04, 1.095816E-14, 4, hlk+04, 0.95, -0.52, 0.4, 7.81, 1.2000e-11, *, *, 4.0000e-20
77, B2152-31, mlt+78, 1.030002112, 7, hlk+04, 1.24089E-15, 5, hlk+04, 0.97, -0.76, 0.16, 7.92, 7.0000e-12, *, *, 5.0000e-20
78, J0034-0534, bhl+94, 0.0018771819, 2, aaa+10b, 4.966E-21, 1, aaa+10b, 0.98, -0.91, 0.34, 8.63, 2.0000e-16, *, *, 1.0000e-24
79, J0636-4549, bjd+06, 1.9845973671, 4, bjd+06, 3.1722E-15, 20, bjd+06, 0.98, -0.36, -0.88, 8.74, 4.0000e-11, *, *, 2.0000e-18
80, B0943+10, vazs69, 1.0977057049, 7, hlk+04, 3.49339E-15, 20, hlk+04, 0.98, 0.67, -0.51, 9, 7.0000e-11, *, *, 2.0000e-19
81, B1530+27, dth78, 1.1248357428, 7, hlk+04, 7.7956E-16, 6, hlk+04, 0.98, 0.8, 0.39, 8.09, 7.0000e-12, *, *, 6.0000e-20
82, B2016+28, csl68, 0.5579534804, 7, hlk+04, 1.481058E-16, 16, hlk+04, 0.98, -0.07, 0.91, 8.14, 7.0000e-13, *, *, 1.6000e-21
83, J1528-3146, jbo+07, 0.0608222304, 1, jbo+07, 24.9E-20, 1, jbo+07, 0.99, 0.34, -0.35, 7.64, 1.0000e-14, *, *, 1.0000e-21
84, J1923+2515, lbr+13, 0.0037881555, 52, lbr+13, 9.42E-21, 14, lbr+13, 0.99, 0.08, 0.85, 7.99, 5.2000e-16, *, *, 1.4000e-22
85, B0053+47, dtws85, 0.4720366621, 7, hlk+04, 3.32849E-15, 7, hlk+04, 1, -0.26, 0.8, 9.04, 7.0000e-12, *, *, 7.0000e-20
86, B0329+54, cp68, 0.7145196997, 4, hlk+04, 2.048265E-15, 8, hlk+04, 1, -0.02, 0.57, 9.32, 4.0000e-12, *, *, 8.0000e-21
87, B0355+54, mth72, 0.1563824178, 15, hlk+04, 4.396862E-15, 13, hlk+04, 1, 0.01, 0.53, 9.35, 1.5000e-12, *, *, 1.3000e-20
88, B0906-49, dmd+88, 0.1067545925, 3, dmd+88, 1.5151E-14, 2, dmd+88, 1, -0.02, -1, 8.5, 3.0000e-11, *, *, 2.0000e-18
89, J1723-2837, fsk+04, 0.0018557328, 11, cls+13, 7.5E-21, 5, cls+13, 1, 0.07, -0.04, 7.5, 1.1000e-14, *, *, 5.0000e-22
90, B1534+12, wol90a, 0.0379044408, 3, kws03, 0.0024226281E-15, 5, kws03, 1.01, 0.75, 0.23, 7.87, 3.0000e-17, *, *, 5.0000e-25
91, B0031-07, lvw69a, 0.9429509946, 17, hlk+04, 4.08210E-16, 7, hlk+04, 1.03, -0.97, 0.33, 8.62, 1.7000e-12, *, *, 7.0000e-21
92, B1747-46, wvl69, 0.7423523955, 10, smd93, 1.2911E-15, 6, smd93, 1.03, -0.18, -0.26, 7.52, 1.0000e-11, *, *, 6.0000e-19
93, B0538-75, mlt+78, 1.2458555963, 5, smd93, 5.65E-16, 3, smd93, 1.04, -0.53, -0.85, 8.24, 5.0000e-11, *, *, 3.0000e-18
94, J0711-6830, bjb+97, 0.0054909685, 13, vbc+09, 1.49067E-20, 5, vbc+09, 1.04, -0.41, -0.94, 8.34, 1.3000e-16, *, *, 5.0000e-25
95, J1713+0747, fwc93, 0.0045701365, 7, sns+05, 8.5289E-21, 5, sns+05, 1.05, 0.45, 0.46, 7.67, 7.0000e-18, *, *, 5.0000e-25
96, B2048-72, mlt+78, 0.3413362314, 4, dmk+93, 1.957E-16, 2, dmk+93, 1.05, -0.6, -0.53, 7.82, 4.0000e-12, *, *, 2.0000e-19
97, B2310+42, dth78, 0.3494336821, 5, hlk+04, 1.123699E-16, 19, hlk+04, 1.06, -0.3, 0.98, 8.75, 5.0000e-13, *, *, 1.9000e-21
98, J0737-3039A, bdp+03, 0.0226993786, 11, ksm+06, 1.75993E-18, 6, ksm+06, 1.1, -0.09, -1, 8.96, 1.1000e-15, *, *, 6.0000e-23
99, J0737-3039B, lbk+04, 2.7734607701, 8, ksm+06, 8.92E-16, 8, ksm+06, 1.1, -0.09, -1, 8.96, 8.0000e-11, *, *, 8.0000e-18
100, B0919+06, mlt+78, 0.4306270989, 17, spl13, 1.37294E-14, 10, spl13, 1.1, 0.65, -0.63, 9.12, 1.7000e-11, *, *, 1.0000e-18
101, B1530-53, lvw68, 1.3688809092, 2, smd93, 1.4260E-15, 18, smd93, 1.13, 0.04, -0.64, 7.57, 2.0000e-11, *, *, 1.8000e-18
102, J1739-3951, lfl+06, 0.3417724768, 10, lfl+06, 2.0E-17, 5, lfl+06, 1.13, -0.09, -0.19, 7.39, 1.0000e-11, *, *, 5.0000e-18
103, J2043+1711, hrm+11, 0.002379879, 4, gfc+12, 5.24E-21, 2, gfc+12, 1.13, -0.3, 0.96, 7.99, 4.0000e-14, *, *, 2.0000e-23
104, J2043+2740, rtj+96, 0.096130563, 5, rtj+96, 1.27E-15, 1, rtj+96, 1.13, -0.18, 1.05, 8.13, 5.0000e-11, *, *, 1.0000e-17
105, B0254-53, lvw69b, 0.4477084441, 3, smd93, 3.06E-17, 3, smd93, 1.15, -0.95, -0.65, 8.5, 3.0000e-12, *, *, 3.0000e-19
106, B1540-06, mlt+78, 0.7090640698, 4, hlk+04, 8.7954E-16, 4, hlk+04, 1.15, 0.69, 0.01, 7.58, 4.0000e-12, *, *, 4.0000e-20
107, J2235+1506, cnt93, 0.059767358, 9, cnt96, 1.576E-19, 7, cnt96, 1.15, -0.68, 0.91, 8.35, 9.0000e-15, *, *, 7.0000e-22
108, J1804-2717, llb+96, 0.0093430307, 7, hlk+04, 4.089E-20, 8, hlk+04, 1.17, -0.06, 0.07, 7.33, 7.0000e-15, *, *, 8.0000e-23
109, B0450+55, dth78, 0.3407294362, 10, hlk+04, 2.37227E-15, 7, hlk+04, 1.18, 0.15, 0.54, 9.54, 1.0000e-11, *, *, 7.0000e-20
110, B1702-19, mlt+78, 0.2989874273, 17, hlk+04, 4.137877E-15, 10, hlk+04, 1.18, 0.27, 0.06, 7.35, 1.7000e-12, *, *, 1.0000e-20
111, J1640+2224, wol95, 0.0031633158, 2, llww05, 0.28276E-20, 9, llww05, 1.19, 0.74, 0.61, 7.8, 2.0000e-17, *, *, 9.0000e-25
112, B0853-33, mlt+78, 1.2675357028, 5, hlk+04, 6.32095E-15, 3, hlk+04, 1.21, 0.16, -1.17, 8.77, 5.0000e-12, *, *, 3.0000e-20
113, J1909-3744, jbv+03, 0.0029471081, 9, vbc+09, 1.402542E-20, 5, vbc+09, 1.26, -0.42, -0.01, 7.31, 9.0000e-19, *, *, 5.0000e-26
114, B1706-16, lvw69b, 0.6530539713, 4, hlk+04, 6.30985E-15, 13, hlk+04, 1.27, 0.3, 0.12, 7.27, 4.0000e-11, *, *, 1.3000e-19
115, J2136-1606, rsm+13, 1.2272354002, 6, rsm+13, 1.6E-17, 3, rsm+13, 1.27, -0.88, 0.54, 7.76, 6.0000e-11, *, *, 3.0000e-18
116, J1944+0907, clm+05, 0.0051852019, 3, clm+05, 1.713E-20, 2, clm+05, 1.28, -0.16, 0.93, 7.64, 3.0000e-16, *, *, 2.0000e-23
117, J2051-0827, sbl+96, 0.0045086417, 2, dlk+01, 1.2737E-20, 5, dlk+01, 1.28, -0.65, 0.7, 7.64, 2.0000e-16, *, *, 5.0000e-24
118, B1010-23, mlt+78, 2.5179450205, 4, hlk+04, 8.809E-16, 4, hlk+04, 1.29, 0.57, -1.14, 8.66, 4.0000e-11, *, *, 4.0000e-19
119, B1541-52, mlt+78, 0.1785537997, 14, nmc81, 6.07E-17, 7, nmc81, 1.29, 0.03, -0.7, 7.42, 1.4000e-11, *, *, 7.0000e-19
120, J2010-1323, jbo+07, 0.005223271, 1, jbo+07, 0.482E-20, 7, jbo+07, 1.29, -0.52, 0.58, 7.47, 1.0000e-15, *, *, 7.0000e-23
121, J0337+1715, rsa+14, 0.0027325886, 9, rsa+14, 1.7666E-20, 9, rsa+14, 1.3, -0.65, 0.2, 9.61, 9.0000e-14, *, *, 9.0000e-24
122, J0459-0210, mld+96, 1.1330761237, 6, hlk+04, 1.39825E-15, 6, hlk+04, 1.3, -0.56, -0.43, 9.59, 6.0000e-12, *, *, 6.0000e-20
123, J0538+2817, fcwa95, 0.1431582589, 11, klh+03, 3.6694515E-15, 13, klh+03, 1.3, -0.04, 0.01, 9.8, 1.1000e-13, *, *, 1.3000e-21
124, J2017+0603, cgj+11, 0.0028962158, 2, cgj+11, 8.3E-21, 1, cgj+11, 1.32, -0.36, 0.95, 7.66, 2.0000e-15, *, *, 1.0000e-22
125, J2214+3000, rrc+11, 0.0031192266, 4, rrc+11, 1.40E-20, 3, rrc+11, 1.32, -0.49, 1.22, 8.43, 4.0000e-15, *, *, 3.0000e-22
